kvartal,dy_obs,dc_obs,dinv_obs,dx_obs,dm_obs,pi_obs,dw_obs,i_R_obs,i_3m_obs,ds_obs,dpO_obs,dyS_obs,dh_obs,db_obs
2004-12-31,0.00284285798245058,-0.0036103632479918355,0.07908494876893517,-0.01709647973464304,-0.006450217570267773,-0.002424722145963537,-0.007885742347924732,-0.001706881113609302,-0.001714672484090303,-0.026799845300370783,0.051382583806889856,-0.006533530785260386,0.006657930848978505,0.0032061842745946274
2005-03-31,0.00629050295661308,0.02236877654338084,-0.04436837670067657,0.00855456053766676,0.01175263703190131,-0.02703276853075884,-0.007850302646962418,-0.001706881113609302,-0.001714672484090303,0.0013897067008244342,0.0740765742547632,-0.006632865381214486,0.004956390785904069,0.0021888042068466413
2005-06-30,0.017632244626602327,0.004814647822218595,0.013487341355636492,0.003345149117568084,0.012563225822861719,0.02022523265070611,-0.006573035767070037,-0.001706881113609302,-0.001714672484090303,-0.027520494227791303,0.06545107486480593,-0.006328850265649886,0.006218078750184236,0.00307354367340318
2005-09-30,-0.00522135751942095,0.009728033107675635,0.01391279283340889,0.007136322891261841,0.03082635436516311,-0.015665851618397036,-0.003931800905854557,-0.0010818811136093023,-0.0010896724840903024,-0.024281180857903272,0.1661303242928379,-0.0016425409608320854,0.010294772718213469,0.005783683540342978
2005-12-31,0.01031975484322693,-0.018147735605163397,0.05895771363601536,-0.00626753514937964,0.0008443115612103268,0.0004208916132210361,-0.0013366660671335767,-0.0006814904886093022,-0.0006892818590903032,-0.004105601501078037,-0.08971206721080884,-0.0014586588235765857,0.015057974904741062,0.008901118336130389
2006-03-31,0.01220898697968124,0.027534965054901016,-0.007714362698307124,-0.004295071491902476,0.011860398815589741,-0.010922154398688017,0.001025340629687052,-0.0003511118828400774,-0.0003589032533210775,0.014423002468440239,0.07319170796623196,0.005406672615481114,0.018681648406340595,0.011311523106773415
2006-06-30,0.004865495208532449,0.010056488932997673,0.04735037729760254,-0.006470004563881389,0.016540884968215916,0.025595753900486434,0.0038462067212515633,0.00039441198983897283,0.0003866206193579719,-0.02764429612164516,0.10743315311563083,0.012141682259431614,0.021616880706192748,0.013354749095841336
2006-09-30,-0.0006041017566716551,0.0019307433836370427,-0.028522914543970226,-0.013003702876872055,0.0030581682772571183,-0.022176140434545383,0.007373017371956267,0.0011008111940829972,0.0010930198236020223,0.0249257014681195,-0.0065338951385739575,0.012482972312317915,0.024084620047778255,0.0151880737658624
2006-12-31,0.019098851554172496,-0.003110877316760999,0.04386855533520499,-0.003803477717814559,0.03880602065375603,0.009319459882615538,0.010254963446739582,0.0019141506324224225,0.0019063592619414475,0.022101855032128626,-0.16791834162699618,0.017522345991663215,0.023647657244671133,0.01521409069147628
2007-03-31,0.017396077529839998,0.021282027334185792,0.056478613376343564,0.009710854768757741,0.02661939267216594,-0.0679225925578418,0.012981584536535182,0.0032345251363906967,0.0032267337659096975,-0.016140581216406335,-0.039156745828389364,0.019544150898816615,0.019175965434447245,0.012803737714321863
2007-06-30,-0.0028697128977324855,0.0019862677187454016,0.017299707539830497,-0.005445303517402607,0.0006994363665161329,-0.0016149099184051552,0.016531434620786642,0.004172356174526273,0.004164564804045296,-0.011595164052261086,0.1605267747731328,0.024293408324757914,0.011533485703141305,0.008573234883963445
2007-09-30,0.015390502427120294,0.004408133048231696,0.012873870500847137,0.007032179704872547,-0.015186925187898785,-0.028492768269181207,0.0211315398064814,0.0054950419633137725,0.0054872505928327715,-0.027085401022961263,0.07591835970282378,0.026416721807772714,0.0009063061350125523,0.002656937661656202
2007-12-31,-0.0005846538164907163,0.00012211723659479555,0.062457476988224944,0.0013465925926366678,0.030512694245813474,0.05752644171600743,0.023580221928738085,0.006517325235597047,0.006509533865116048,-0.008959851668621076,0.15640447939994226,0.031219173725640915,-0.010376113071967258,-0.0038676456503067263
2008-03-31,-0.004947345544192034,0.0026816826641020333,-0.027890296298407516,0.016481012732971395,0.015395572201627112,0.01627302097898245,0.023102739507904077,0.007043118886390697,0.007035327515909698,0.006328618290849342,0.08258444006659459,0.030903427415004014,-0.017575059550089617,-0.008234761779264075
2008-06-30,0.0063495468455289465,-0.006696001593613979,-0.023841541584781648,-0.007057640187896482,-0.01507816186384327,-0.013048594964547883,0.019675562132070654,0.0075292299975017974,0.0075214386270208225,-0.0054460343396908854,0.21422579907271108,0.024368321520010415,-0.02032595525494904,-0.010228016939761829
2008-09-30,-0.002851348792390313,-0.024164287314119938,-0.00466326591008777,-0.025293196422280145,0.0007255081293501119,0.027855513296217188,0.014345798948847674,0.008293118886390699,0.008285327515909697,0.011125831559058153,-0.06532205579100826,0.015359597168110415,-0.018772090951462123,-0.009828674675992686
2008-12-31,-0.025814252578198877,-0.016847634155123394,-0.014170507584580785,-0.0009155756100222307,-0.023041138870962943,0.013772662810986352,0.007295214708945438,0.005941928410200197,0.005934137039719222,0.09752370934437175,-0.744372267674838,-0.008934857972772886,-0.014266279413541721,-0.007830246177230491
2009-03-31,-0.010184751765605144,-0.0034069189275350107,-0.10643502261154066,-0.023419094335144136,-0.11538314349276847,-0.026747642808394895,0.0016378429963404967,0.0005649442832160725,0.0005571529127350976,-0.0005563983016624967,-0.2218968274555441,-0.03335700256823509,-0.00943032636282612,-0.005494411518061624
2009-06-30,-0.004747913312620328,0.010012983406324913,-0.0319251949525869,-0.02614397600209753,-0.0049539995172703955,0.013451464601839908,-0.0017031100794587944,-0.0019611184017449025,-0.0019689097722258775,-0.01521585933531817,0.2694388204980581,-0.03477244584405089,-0.004561142913214827,-0.0029069967558742454
2009-09-30,-0.008545188801331777,0.0027506015517335305,-0.020163201222381313,0.010132132416940635,0.005790180972556109,-0.023758106047413102,-0.0027954259870751758,-0.0029568811136093023,-0.0029646724840903024,-0.015665328155070223,0.13604313644961072,-0.03391405337212039,0.0004413449740528208,-1.4735614276005157e-05
2009-12-31,-7.055770919180485e-05,-0.0016815130210794758,0.06788843219592326,-0.004733500729805414,0.001967767002540961,-0.0015973845449504809,-0.003228747913099808,-0.0024393029886093025,-0.002447094359090303,-0.04402824634675735,0.08011397866352797,-0.029432739943532186,0.004575809916116863,0.002422611158359957
2010-03-31,0.0130997076757761,0.01693489376063436,-0.13637722334045696,0.02310041402277871,0.024243455264287714,0.033291681634843334,-0.0031275618871026284,-0.001706881113609302,-0.001714672484090303,-0.039158544410547516,0.014503868874053178,-0.022855744898389086,0.0069761569620570285,0.003872937988523952
2010-06-30,-0.008399052154105819,-0.009517137923131394,0.0009129369970606723,-0.021575124150762376,0.03861547290951327,-0.000586426476278129,-0.0019389627988791874,-0.0013149319610669527,-0.0013227233315479276,-0.027630633453041575,0.01670929194115099,-0.009188833978007585,0.00804778048035762,0.004634772008326295
2010-09-30,-0.002319966886984732,0.000672668725403688,0.0026260935610300925,-0.02129393528302917,-0.009142767534245826,-0.052743740130480526,0.00045493061900946097,-0.0010818811136093023,-0.0010896724840903024,0.002048972032142427,-0.03148447231383224,-0.0013868081291086858,0.008034171825131803,0.004865996156980025
2010-12-31,-0.0074396624441455846,-0.002125254159153692,0.021010732387860817,0.008450432056064187,-0.015873040375535954,0.01532308053731804,0.0021224616201843544,-0.0010818811136093023,-0.0010896724840903024,0.008469907916279152,0.10906384032478754,0.0014949917928487144,0.0069095758912243455,0.004357991696754106
2011-03-31,0.007046434805333773,0.006201363713223848,0.039002447843264496,-0.002857269329905961,0.056143336939499786,-0.002210199745561775,0.002473137836793357,-0.0010818811136093023,-0.0010896724840903024,-0.03268104576466575,0.18759398794338375,0.007358304390051614,0.005809764250900545,0.0037331723342187723
2011-06-30,0.0007989390824575775,-0.002216728730077869,-0.026467406330262302,-0.008334009233052527,-0.06961413996180989,0.0019470877347028959,0.0022125007005358993,-0.0007428980627618527,-0.0007506894332428276,-0.0035400340359738706,0.0940134435204004,0.007026537620452614,0.005175715442457235,0.003326679335528106
2011-09-30,-0.0017752776130689103,-0.0046333583404259224,-0.003053424868051561,0.01721989263449561,0.008039931957209185,-0.050896221213288934,0.0015486303374624283,-0.00045688111360930265,-0.00046467248409030274,-0.011364539472667533,-0.04284753539402954,0.008469826637014516,0.005018861694067428,0.003166180050186875
2011-12-31,-1.5843823563416876e-05,0.001935225690674577,0.005911154207641363,-0.019814565382545807,0.031222896271603115,-0.01088025553952185,-0.00011551581634829111,-0.0006717248636093024,-0.0006795162340903025,-0.004353982501674913,-0.04429807239333784,3.380853388433179e-05,0.0044814785728939655,0.00267733556210137
2012-03-31,0.017447673126948542,0.011656047798172827,0.016998571178916497,0.031181309108693073,-0.004475276795051235,-0.002386728405432942,-0.0009737366680985376,-0.0018222657289939277,-0.0018300570994749027,-0.02630022607249023,0.07145479487670069,0.0026016333800756145,0.0035635093765793713,0.002040731959138122
2012-06-30,-0.0037396525343301353,0.0007910786690387885,-0.00035394646522686566,0.0011595211774656205,0.00933765891040293,-0.015241424334589831,-0.0009309587780007705,-0.0023318811136093026,-0.0023396724840903027,-0.007511662553076181,-0.10690992171999526,0.00015689724611509957,0.0022462302795563105,0.0012546422899329963
2012-09-30,-6.640963090383603e-05,-0.0019465548723403368,0.05364064667749861,-0.02510957234259284,-0.013238490079717684,-0.05221784901496526,0.0004991520978579883,-0.0023318811136093026,-0.0023396724840903027,-0.026058768556813838,0.007251273580084134,0.0010149665932369144,0.0007648962868347653,0.0005088529818871885
2012-12-31,0.00032884238716938616,-0.006322472141095084,0.026278319277206738,-0.005002200897086169,-0.010079969668853954,0.023092473914655548,0.0013280671366176916,-0.0023318811136093026,-0.0023396724840903027,-0.007064807323421584,-0.005306492191440431,-0.006919286147105086,-0.0011360352071503044,-0.0005488144106285935
2013-03-31,0.0052132577746170465,0.017109106435096742,-0.06572075200493739,-0.015863385784475353,0.027950576376219213,-0.0012386939991305412,0.0006326721758990045,-0.0023318811136093026,-0.0023396724840903027,0.004603068436094527,0.01059305217735594,-0.008197551940690585,-0.0030385253907349863,-0.0017598480168509161
2013-06-30,-0.00574448114067579,-0.004660370871230094,0.03551340042915445,0.00971734526196552,0.00588973152679882,0.012567676265551248,-0.000943020309461487,-0.0023318811136093026,-0.0023396724840903027,0.021228255083640058,-0.10198881905205849,-0.006205708494275386,-0.004747066381532744,-0.002942541859865975
2013-09-30,0.002434064689110043,-0.0019187928631616922,-0.007923275336086458,0.003140630852650787,0.0053563216699100535,-0.011260265642362904,-0.003234520741320593,-0.0023318811136093026,-0.0023396724840903027,0.03683226308582581,0.062029512302685594,-0.004985613198814086,-0.006278082155529913,-0.004090301367449476
2013-12-31,0.0005566704637870838,-0.0060828015944736444,0.011098005878545966,-0.015441760699265757,-0.008723064136956131,-0.004394306129590214,-0.006528137734620812,-0.0023318811136093026,-0.0028860329709922278,0.03395875002342823,-0.01916661001692245,-0.0036829261252063856,-0.007423832880232933,-0.005107113501602199
2014-03-31,-0.001267947929067221,0.00779924329817124,-0.024038449342493176,0.03026411910264723,-0.024420089394360592,-0.008609181071882327,-0.009004887966861289,-0.0023318811136093026,-0.002861032970992253,0.009851109360943511,-0.020011392908472106,-0.0039275072743585855,-0.007410521556856925,-0.005346801730800819
2014-06-30,0.0021466466199377247,-0.00023959605582572242,0.013464990904310345,-0.004208917449245149,0.022022333269789182,0.0036392613348862624,-0.010007505173754608,-0.0023318811136093026,-0.002602699637658903,-0.020661715241125655,0.004217534096991311,-0.0034688489659276856,-0.006094278470011066,-0.004657317599381925
2014-09-30,-0.003773566852793026,-0.00643662829349804,-0.013304167748790799,0.004887525301415422,0.030715656455691284,-0.0006169831410854643,-0.00953999325289824,-0.0023318811136093026,-0.002877699637658903,0.004617446674249504,-0.08373795916260098,-0.0005342026919619857,-0.003469571282837397,-0.0030357420949919094
2014-12-31,-0.0004120521837941045,-0.0015108226591458527,-0.009331042650229729,0.019387049371058923,-0.05162346959510801,-0.00885546391521394,-0.009503235279031755,-0.0024410080977363023,-0.003202699637658903,0.032303703132637904,-0.2976584645241952,-0.0012755825835917855,-0.0005709257447876481,-0.0012928789747755891
2015-03-31,0.0007949531844263884,0.014507725829057313,-0.011865351680439853,0.007357762700268637,0.022274445419211072,-0.011606197967104132,-0.010885825165769872,-0.0029568811136093023,-0.0036693663043255776,0.013967956540979643,-0.3578383697418682,-0.0006601531507337856,0.0015147704455853728,-0.00017972024922629885
2015-06-30,-0.0031580846523802837,-0.002815472794742072,0.004954824119918474,-0.0038133238335719428,-0.010231714636423155,0.013813454987495893,-0.013296715221185265,-0.0030416268763211775,-0.003544366304325578,-0.022725974691337924,0.12289830446042248,0.0033478710466930146,0.002972818824055007,0.00045401977231429753
2015-09-30,-0.004298553012128965,-0.004235396762693392,-0.007214905604669934,0.020242180819396965,-0.016917825342585804,-0.009093866993932304,-0.01664509945650873,-0.0036197599014881027,-0.004202699637658903,0.06076137271662389,-0.21064226846158132,0.0013855872719961142,0.003950010231447837,0.0007054961932174714
2015-12-31,-0.007083302758284022,-0.004782954790030694,0.003147971908264143,-0.01101585687703502,0.007047797663768713,0.010690599749957036,-0.020493063348597032,-0.0042068811136093025,-0.004302699637658903,0.01770522829577308,-0.15684657492727797,0.0020890449979916147,0.004073196042090582,0.00039461129039553185
2016-03-31,-0.001642660798934232,0.007573299252978635,0.047858839154214114,-0.011429225031734632,-0.006698909772985167,0.014318662685191802,-0.022573014452988885,-0.004278602425084727,-0.004452699637658902,0.016523139051792857,-0.2623772263115026,0.0007761720429585143,0.003870024811492928,6.471344159686594e-05
2016-06-30,-0.004415418387850496,-0.016158826629858715,0.023890110468149747,-0.018755610368433123,-0.02004606884164696,0.025593169321926373,-0.02271479221585916,-0.004831881113609302,-0.004661032970992228,-0.02556245410328035,0.28742334409536163,-6.11755295319856e-05,0.0033947077453313768,-0.00023465457438709252
2016-09-30,-0.0017969228587074344,-0.011266746318948898,0.013725115887952374,0.009183535646656608,0.037996289599690466,0.01094090672728179,-0.0207509512322316,-0.004831881113609302,-0.004411032970992228,-0.007122460283321263,-0.004906904011090412,-0.0006078555328912856,0.0028897101123966096,-0.0003412690557850189
2016-12-31,-0.007832969722834166,0.013632648989746662,-0.014705790401185762,0.028545291095593756,-0.0234272508950958,-0.005883834363902801,-0.018146207853207655,-0.004831881113609302,-0.004294366304325578,-0.031254013423096264,0.05854511694589047,0.00033074278453581443,0.0017020963785650267,-0.0007933629581821072
2017-03-31,0.007201767501493633,0.008548196290515583,0.06143554327272209,-0.03769336317583108,-0.007313794933547462,-0.023758106047413102,-0.016242267382638245,-0.004831881113609302,-0.004611032970992228,-0.00893568142309915,0.07852841863060799,0.004803744437778714,-0.00023703445738074147,-0.0017664474126922718
2017-06-30,0.00491483674063346,-0.011097366266732004,-0.032055093847342245,0.04767462809659992,0.0003270124723603173,0.00669889389356762,-0.014768822136102769,-0.004831881113609302,-0.004894366304325578,0.03891740582212737,-0.08841591374108083,0.0067859384302185145,-0.0026935393887428105,-0.003093005846855788
2017-09-30,0.0009082014121374708,-0.002518122248389468,0.0026128430294692214,0.005785932407246534,-0.0024019349019620707,-0.012396255264807005,-0.013554580731179114,-0.004831881113609302,-0.005144366304325578,-0.007199743500416477,0.0400557666847373,0.009234067917223815,-0.0056670705565635415,-0.004755700407055861
2017-12-31,8.257800113390876e-05,0.013116507741628388,-0.0022684279998783233,-0.06884924738254786,0.018290154715807513,-0.012428436789267389,-0.012933210687476118,-0.004831881113609302,-0.005177699637658902,0.023413339184833504,0.15416669735907415,0.013384055161190416,-0.008674074944505311,-0.006497766035451156
2018-03-31,-0.0017759602568912687,-0.006235685769455693,-0.005726150286015933,0.001517255225506801,-0.037539365440372965,0.002553656798291476,-0.01199862153084065,-0.004831881113609302,-0.004619366304325578,-0.0007878294437293036,0.07526702448371046,0.011156882031218314,-0.010388080086466606,-0.007432710204964386
2018-06-30,0.00012425054093682594,-5.335846770119536e-05,0.0041111307300523555,0.022754209800008057,0.02285793812567581,0.022183730661453543,-0.010178190482667118,-0.004831881113609302,-0.004561032970992227,-0.012097675889074466,0.09856743171997372,0.012835612330311516,-0.010670532206272537,-0.007420138372029704
