,dy_obs,dy_obs_level,dc_obs,dc_obs_level,dinv_obs,dinv_obs_level,dx_obs,dx_obs_level,dm_obs,dm_obs_level,pi_obs,pi_obs_level,dw_obs,dw_obs_level,dh_obs,dh_obs_level,i_R_obs,i_R_obs_level,i_3m_obs,i_3m_obs_level,ds_obs,ds_obs_level,dpO_obs,dpO_obs_level,u_obs,dyS_obs,dyS_obs_level,db_obs,db_obs_level,covid_flag
2006Q3,-0.08893099165445961,13.443864098095396,0.18730363797800031,12.71398904159403,-1.1626350954089966,12.276638279577442,-1.3635490267598283,13.148701464726596,0.157858040300061,12.523303811438504,-2.19760051789685,4.4343818650078095,,,1.8855999489386421,4.155753190350744,0.032454009589058974,2.873076923076923,,,0.023008536341634078,2.0869679547335256,-0.47026574581191904,4.244661529127515,-0.3964171208791205,1.123556260390296,1.255345033146511,5.082971014492751,0.12044615307586726,0
2006Q4,1.8813643394299555,13.468907578216578,-0.31685843206180386,12.71874356568905,-1.0450932847513124,12.274450661365456,-0.44352651085407874,13.147689935350337,3.7326432779499523,12.569548411366076,0.9519595138192423,4.442651256490317,,,-0.053260595990002324,4.168214410788556,0.11378795342300285,3.1984126984126986,,,2.1342854504150575,2.1127774903105743,-16.60871039465414,4.0867763125942504,-0.8530731208791207,1.6015925416663623,1.7333813144225774,4.982971014492753,0.11955923505763925,0
2007Q1,1.7110869369967057,13.492248284313428,2.122432033032875,12.747890994435016,6.053466252182856,12.343248638522812,0.9079067378031513,13.160192738460651,2.513980479790943,12.603606383312059,-6.7722457302264925,4.4316101348627095,5.727845924076348,5.938327448694853,4.708429754557185,4.22829253473184,0.2458254038198282,3.7265625,,,-1.6899581744384387,2.100344589639088,-3.73255081479346,4.057652691859593,-1.0051871208791203,1.8163734620186178,1.9481622347748329,4.34963768115942,0.1139237463183142,0
2007Q2,-0.31549210576054265,13.495323199982705,0.1928560714888362,12.757742663565542,2.796763177621427,12.379479584934554,-0.6077090908128835,13.157539383284805,-0.07801515077403753,12.611744398952391,-0.1414774662828271,4.4371459338949615,,,2.4206457288377994,4.26549281841793,,,,,,,16.235801245358758,4.228212591726457,-1.1438871208791204,2.097583552594554,2.229372325350769,4.316304347826085,0.11362626007485899,0
2007Q3,1.5105294267247353,13.516658330976835,0.4350426044374657,12.770016198025555,1.8937257608005758,12.406680157178087,0.6400392314146319,13.167363511331233,-1.6666513062155293,12.603996053038308,-2.8292633013604322,4.4359622683395195,,,-1.4399308006447298,4.264087336809195,0.471877086512136,4.630769230769231,,,-3.5731885058280346,2.0690793856537057,7.774959738327854,4.314164076523013,-1.2202451208791207,2.4649333287869677,2.596722101543183,4.34963768115942,0.1139237463183142,0
2007Q4,-0.08698619763636573,13.522018305727354,0.0064410232737756035,12.77800371667393,1.5316180441770704,12.430259652255385,0.07148052019104395,13.171502052265426,2.9033106371556965,12.641947326557938,5.772657697158431,4.456283405280375,,,-3.5754410636160703,4.241326752570746,0.5741054137404631,5.0396825396825395,,,-0.9718852196599128,2.0638272145300047,15.823571708039704,4.480601681016687,-1.2389261208791207,3.0208809302634907,3.152669703019706,3.7163043478260835,0.10825631876985192,0
2008Q1,-0.5232553704064975,13.523015588750171,0.2623975660244994,12.788550800749814,-2.2197499638092517,12.41632546725282,1.5849225342245166,13.190775013339954,1.3915984327370605,12.664781478033381,1.6473156234559334,4.4662911870369735,9.169459705051665,5.999432716757159,0.976675784073654,4.264087336809195,0.6266847788198282,5.25,,,0.5569617762871291,2.073863513365774,8.441567774704936,4.573219246177013,-1.2221411208791206,3.0484989959363316,3.180287768692547,3.5496376811594175,0.10675953657153367,0
2008Q2,0.6064338685656006,13.53530976416271,-0.6753708597471019,12.78972020056798,-1.998500085018366,12.404603781038164,-0.768942757862271,13.186509321493613,-1.6557749738099776,12.657141895443354,-1.2848459708970998,4.46896856480769,,,-0.04150441908514879,4.276666119016055,0.6752958899309394,5.444444444444445,,,-0.6205034867668937,2.0721251595710033,21.605703675316587,4.797478170343456,-1.1408141208791207,2.4117356088261985,2.543524381582414,2.649637681159419,0.09863796989699944,0
2008Q3,-0.3136556952263254,13.538403043937329,-2.422199431797698,12.773421314665642,1.5088306703269843,12.427955402376961,-2.5924983813006377,13.164008073412889,-0.07540797449063963,12.66530598284652,2.8055648551794072,4.481871969643597,,,-4.68953780733934,4.242764567340374,0.7516847788198282,5.75,,,1.0366831031080102,2.0869586716749815,-6.34908181105535,4.742189239646179,-1.1613111208791205,1.528032295154641,1.659821067910856,1.3829710144927514,0.08709470685093373,0
2008Q4,-2.6099460738071816,13.51853341992614,-1.6905341158980436,12.7644390819223,-2.251014420997914,12.41370857280251,-0.1547363000748459,13.165884446144423,-2.452072674521945,12.649703423249374,1.3972798066563237,4.491254661858197,,,-8.599719223123104,4.169761201506855,0.5165657312007805,4.809523809523809,,,9.67647088163937,2.1881900615642733,-74.25410299943833,4.007850097065073,-0.8636341208791207,-0.7602553761921527,-0.6284666034359376,-0.18369565217391592,0.07263069103490735,0
